"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"APMC, mandhal","APMC Mandhal","6816391","agriculture produce markrt committee ,Mandhal,","Nagpur","MAHARASHTRA","1147","15-Dec-2023","14-Dec-2028","9370562355","Active",""
"Maharashtra State Warehousing Corporation","MAHARASHTRA STATE WAREHOUSING CORPORATION, MURUM","6586085","APMC Market Yard, MURUM","Osmanabad","MAHARASHTRA","3600","30-May-2022","29-May-2027","9860239132","Active",""
"Maharashtra State Warehousing Corporation","Karad","6582753","Market yard get no 6, Karve Naka karad","Satara","MAHARASHTRA","13450","29-May-2022","28-May-2027","9823741407","Active",""
"Maharashtra State Warehousing Corporation","Tirthpuri","6576813","MSWC, Tirthpuri, Taluka Ghansangavi,, Jalna -431209","Jalna","MAHARASHTRA","1580","23-May-2022","22-May-2027","7588957049","Active",""
"Maharashtra State Warehousing Corporation","MSWC SATARA JALGAON JAMB","6574743","JAMB-JALGAON ROAD,, JALGAON","Satara","MAHARASHTRA","13860","13-May-2022","12-May-2027","9158014488","Active",""
"APMC ,varora","apmc, varora","6694715","apmc, sub market yard mandheli,","Chandrapur","MAHARASHTRA","1147","14-Mar-2023","13-Mar-2028","9764063688","Active",""
"Maharashtra State Warehousing Corporation","MSWC Aurangabad Jadhavwadi","6587075","MSWC, APMC market yard, Mondha Naka, Jadhavwadi, Jalgaon road, Aurangabad 431003","Aurangabad","MAHARASHTRA","15280","30-May-2022","29-May-2027","9158001327","Active",""
"Maharashtra State Warehousing Corporation","Tumsar","6579601","APMC, Market Yard, Tumsar","Bhandara","MAHARASHTRA","7956","26-May-2022","25-May-2027","9158679823","Active",""
"Maharashtra State Warehousing Corporation","City Godown Jalna","6585814","Near Government godown, Near Bus Stand, Raut Nagar, Jalna -431203","Jalna","MAHARASHTRA","8850","30-May-2022","29-May-2027","8788294872","Active",""
"Maharashtra State Warehousing Corporation","KALWAN","6578256","Market Yard, Kalwan, KALWAN","Nashik","MAHARASHTRA","3500","24-May-2022","23-May-2027","8408882562","Active",""
"Maharashtra State Warehousing Corporation","UMARAGA","6585186","EKONDI ROAD,, MARKET YARD","Osmanabad","MAHARASHTRA","3377","30-May-2022","29-May-2027","9423326150","Active",""
"Maharashtra State Warehousing Corporation","LASALGAON","6582035","MARKET YARD, KOTAMGAON ROAD","Nashik","MAHARASHTRA","4000","28-May-2022","27-May-2027","8408882562","Active",""
"Maharashtra State Warehousing Corporation","KURUDWADI TADAWALE","6571509","AT Post TADAWALE Kurduwadi, TAL.MHADA","Solapur","MAHARASHTRA","12144","28-Apr-2022","27-Apr-2027","9766224408","Active",""
"Maharashtra State Warehousing Corporation","MSWC BARAMATI","6577712","MIDC ,BARAMATI,","Pune","MAHARASHTRA","15819","24-May-2022","23-May-2027","9158001058","Active",""
"Maharashtra State Warehousing Corporation","Maharashtra State Warehousing Corporation, Umarkhed","6581136","Mahagaon Road, Umarkhed,","Yavatmal","MAHARASHTRA","8280","26-May-2022","25-May-2027","7507550099","Active",""
"Maharashtra State Warehousing Corporation","Maharashtra State Warehousing Corporation, Malegaon (Washim)","6635940","APMC, Near Rest House, Malegaon (Washim),","Washim","MAHARASHTRA","2850","26-Sep-2022","25-Sep-2027","9970171187","Active",""
"Maharashtra State Warehousing Corporation","MSWC brahmapuri","6581490","Near S T Stand,Brhamapuri,","Chandrapur","MAHARASHTRA","8600","28-May-2022","27-May-2027","9689241384","Active",""
"Maharashtra State Warehousing Corporation","MSWC Ahmednagar City","6591754","WAKODI RAOD, BHAWANI NAGAR, MARKET YARD, AHMEDNAGAR,","Ahmadnagar","MAHARASHTRA","5400","07-Jun-2022","06-Jun-2027","9822347088","Active",""
"Maharashtra State Warehousing Corporation","MSWC PANDHARPUR","6579064","KORTI ROAD, IN FRONT OF KRUSHI OFFICE","Solapur","MAHARASHTRA","16424","25-May-2022","24-May-2027","9158001342","Active",""
"Maharashtra State Warehousing Corporation","MAHARASHTRA STATE WAREHOUSING CORPORATION, OSMANABAD","6591937","Marketyard, Near Tuljapur Naka, Osmanabad","Osmanabad","MAHARASHTRA","3600","07-Jun-2022","06-Jun-2027","8208543965","Active",""
"Maharashtra State Warehousing Corporation","Maharashtra State Warehousing Corporation, Sindkhed Raja","6577985","APMC, Market Yard, Sindkhed Raja,","Buldana","MAHARASHTRA","4550","24-May-2022","23-May-2027","9373032431","Active",""
"Maharashtra State Warehousing Corporation","DONDAICHA APMC","6583298","APMC MARKET YARD, SHINKHEDA ROAD DONDAICHA APMC","Dhule","MAHARASHTRA","4760","29-May-2022","28-May-2027","8408882562","Active",""
"APMC ,Tumsar","APMC ,tumsar","6691562","agriculture produce market committee ,tumsar,","Bhandara","MAHARASHTRA","1147","03-Mar-2023","02-Mar-2028","7666759424","Active",""
"Vasudha Saraf","Saraf Warehouse","7118888","Gat No.226/3/2, Mauja Paraswada (Dewadi)","Bhandara","MAHARASHTRA","1321","25-Jul-2025","24-Jul-2030","9422130335","Active",""
"Maharashtra State Warehousing Corporation","Maharashtra State Warehousing Corporation, Warud","6575641","Nagpur Road, Roshankhed Phata,","Amravati","MAHARASHTRA","7650","19-May-2022","18-May-2027","8149641881","Active",""
"Maharashtra State Warehousing Corporation","Maharashtra State Warehousing Corporation, Wadi Hingana","6634869","Plot No. 32 Near firth India ,, MIDC Area, Wadi Hingana","Nagpur","MAHARASHTRA","23535","23-Sep-2022","22-Sep-2027","9405476644","Active",""
"Maharashtra State Warehousing Corporation","MAHARASHTRA STATE WAREHOUSING CORPORATION, PURNA","6746820","NANDED-ROAD, PURNA","Parbhani","MAHARASHTRA","7510","27-Jun-2023","26-Jun-2028","9850030618","Active",""
"Maharashtra State Warehousing Corporation","MSWC Indapur","6586622","Marketyard APMC, Near hotel Khan Chacha","Pune","MAHARASHTRA","3600","30-May-2022","29-May-2027","9881697171","Active",""
"Maharashtra State Warehousing Corporation","MSWC Barshi","6586176","MARKET YARD ROAD,","Solapur","MAHARASHTRA","7280","30-May-2022","29-May-2027","8104565909","Active",""
"Maharashtra State Warehousing Corporation","MAHARASHTRA STATE WAREHOUSING CORPORATION, HINGOLI-MIDC","6575468","Plot C11, MIDC Area,, Hingoli","Hingoli","MAHARASHTRA","10450","19-May-2022","18-May-2027","9764669778","Active",""
"Maharashtra State Warehousing Corporation","MSWC SHIRURANATPAL","6588511","APMC Market Yard,, SHIRUR ANANTPAL","Latur","MAHARASHTRA","3000","01-Jun-2022","31-May-2027","7741828291","Active",""
"Maharashtra State Warehousing Corporation","BODWAD","6594543","APMC MARKET, MUKATINAGAR ROAD BODWAD","Jalgaon","MAHARASHTRA","2000","13-Jun-2022","12-Jun-2027","8408882562","Active",""
"Maharashtra State Warehousing Corporation","Palghar","6583835","Maharashtra State Warehousing Corporation, Nandore Naka, Near APMC, Manor Road","Thane","MAHARASHTRA","5000","29-May-2022","28-May-2027","9029023752","Active",""
"Maharashtra State Warehousing Corporation","MSWC Paithan - B","6783187","MSWC, B-97, MIDC Area, Tal.Paithan, Dist. Aurangabad.,","Aurangabad","MAHARASHTRA","1580","20-Sep-2023","19-Sep-2028","9307712395","Active",""
"Maharashtra State Warehousing Corporation","LONAND","6596258","LONAND SATARA ROAD, KAPAD GAON, LONAND","Satara","MAHARASHTRA","20197","20-Jun-2022","19-Jun-2027","9158001332","Active",""
"Maharashtra State Warehousing Corporation","MSWC KEDGAON A.NAGAR","6574651","PUNE BYPASS ROAD, KEDGAON","Ahmadnagar","MAHARASHTRA","16950","13-May-2022","12-May-2027","9850030702","Active",""
"Monika Gujar","SHREE GANRAJ WARE HOUSING COMPANY","6627939","Opp,Karad Railway Good Shed,, Karad Railway station, Oglewadi","Satara","MAHARASHTRA","4000","10-Sep-2022","09-Sep-2027","9404455554","Active",""
